,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
230,230,2038,Joel Przybilla,1610612749,MIL,33.0,12,4,8,0.333,5.7,0.1,0.3,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.3,1.8,0.3,0.3,0.1,0.2,0.1,0.8,0.1,0.2,-3.8,0,0,5,"2038,1610612749",2012
231,231,101130,Johan Petro,1610612737,ATL,27.0,31,13,18,0.419,11.3,1.5,3.5,0.436,0.0,0.1,0.25,0.4,0.4,0.917,1.1,2.5,3.6,0.5,0.8,0.3,0.3,0.1,1.5,0.5,3.5,-3.0,2,0,5,"101130,1610612737",2012
232,232,203089,John Henson,1610612749,MIL,22.0,63,27,36,0.429,13.1,2.6,5.3,0.482,0.0,0.0,0.0,0.9,1.7,0.533,1.8,2.9,4.7,0.5,0.7,0.3,0.7,0.3,1.3,1.4,6.0,-0.6,6,0,5,"203089,1610612749",2012
233,233,203098,John Jenkins,1610612737,ATL,22.0,61,30,31,0.492,14.8,2.1,4.8,0.446,0.9,2.3,0.384,1.0,1.1,0.843,0.3,1.3,1.5,0.9,0.7,0.2,0.2,0.2,0.6,0.7,6.1,-2.0,0,0,5,"203098,1610612737",2012
234,234,101249,John Lucas III,1610612761,TOR,30.0,63,26,37,0.413,13.1,2.0,5.3,0.386,0.9,2.4,0.377,0.3,0.4,0.72,0.1,0.9,1.0,1.7,0.4,0.4,0.0,0.2,0.8,0.8,5.3,-1.5,0,0,5,"101249,1610612761",2012
235,235,2422,John Salmons,1610612758,SAC,33.0,76,26,50,0.342,30.0,3.2,8.1,0.399,1.3,3.5,0.371,1.1,1.4,0.773,0.4,2.3,2.7,3.0,1.1,0.7,0.3,0.4,1.9,1.3,8.8,-0.5,1,0,5,"2422,1610612758",2012
236,236,202322,John Wall,1610612764,WAS,22.0,49,24,25,0.49,32.7,6.6,15.0,0.441,0.2,0.9,0.267,5.0,6.2,0.804,0.7,3.3,4.0,7.6,3.2,1.3,0.8,0.9,2.4,4.5,18.5,0.9,14,0,5,"202322,1610612764",2012
237,237,202720,Jon Leuer,1610612763,MEM,24.0,28,14,14,0.5,6.7,0.9,1.9,0.481,0.0,0.1,0.0,0.2,0.5,0.462,0.5,0.9,1.3,0.3,0.3,0.2,0.0,0.0,0.8,0.4,2.0,-2.3,0,0,5,"202720,1610612763",2012
238,238,201973,Jonas Jerebko,1610612765,DET,26.0,49,13,36,0.265,18.2,2.9,6.4,0.449,0.5,1.7,0.301,1.4,1.8,0.773,1.4,2.4,3.8,0.9,0.9,0.8,0.2,0.4,1.8,1.5,7.7,-1.7,0,0,5,"201973,1610612765",2012
239,239,202685,Jonas Valanciunas,1610612761,TOR,21.0,62,25,37,0.403,23.9,3.3,5.9,0.557,0.0,0.0,0.0,2.4,3.0,0.789,2.0,4.0,6.0,0.7,1.5,0.3,1.3,0.5,3.0,2.5,8.9,-2.0,8,0,5,"202685,1610612761",2012
240,240,202348,Jordan Crawford,1610612738,BOS,24.0,70,23,47,0.329,24.4,4.3,10.4,0.415,1.2,3.5,0.337,1.8,2.3,0.811,0.6,2.4,3.0,3.2,2.0,0.6,0.1,0.4,1.5,1.9,11.6,-2.4,1,1,5,"202348,1610612738",2012
